51094
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 74.34   61.951063       26657      2324           semget
  8.93    7.441962         385     19340           msgget
  6.23    5.192262         410     12655        53 recv
  5.10    4.246572         490      8672           gettimeofday
  2.48    2.068918         905      2287           write
  0.83    0.694859         179      3879      1235 read
  0.78    0.652951        1060       616           lseek
  0.61    0.511695        1651       310           sigprocmask
  0.18    0.153639        2105        73           mmap2
  0.15    0.123289         355       347           getpid
  0.09    0.073418         496       148           munmap
  0.07    0.058796        2100        28           open
  0.04    0.029822       14911         2           clone
  0.03    0.028090         213       132           getdents64
  0.03    0.025340         551        46           ioctl
  0.03    0.021799         174       125           close
  0.03    0.021603         372        58           getrusage
  0.03    0.021068        1053        20           writev
  0.01    0.008194        2731         3           dup
  0.01    0.004769         434        11           fstat64
  0.00    0.001234          88        14           mprotect
  0.00    0.000183          61         3           _llseek
  0.00    0.000052          52         1           brk
------ ----------- ----------- --------- --------- ----------------
100.00   83.331578                 51094      1288 total
